ScatterSize,IncandescentEOD,IncandescentMass
100,38.5515,0.03
104.04,39.6189,0.0325616
108.081,40.7159,0.035342
112.121,41.8433,0.0383597
116.162,43.0018,0.0416351
120.202,44.1925,0.0451902
124.242,45.4161,0.0490489
128.283,46.6736,0.053237
132.323,47.966,0.0577828
136.364,49.2941,0.0627167
140.404,50.659,0.0680719
144.444,52.0616,0.0738843
148.485,53.5032,0.0801931
152.525,54.9846,0.0870405
156.566,56.507,0.0944727
160.606,58.0716,0.102539
164.646,59.6796,0.111295
168.687,61.332,0.120798
172.727,63.0303,0.131113
176.768,64.7754,0.142308
180.808,66.5689,0.154459
184.848,68.4122,0.167648
188.889,70.3064,0.181963
192.929,72.253,0.1975
196.97,74.2536,0.214364
201.01,76.3096,0.232668
205.051,78.4226,0.252535
209.091,80.5939,0.274098
213.131,82.8255,0.297503
217.172,85.1189,0.322906
221.212,87.4757,0.350478
225.253,89.8978,0.380404
229.293,92.3868,0.412885
233.333,94.9449,0.44814
237.374,97.5738,0.486406
241.414,100.276,0.527939
245.455,103.052,0.573018
249.495,105.905,0.621946
253.535,108.838,0.675052
257.576,111.851,0.732693
261.616,114.948,0.795255
265.657,118.131,0.86316
269.697,121.402,0.936863
273.737,124.763,1.01686
277.778,128.218,1.10369
281.818,131.768,1.19793
285.859,135.417,1.30021
289.899,139.166,1.41123
293.939,143.02,1.53174
297.98,146.98,1.66253
302.02,151.049,1.80448
306.061,155.231,1.95856
310.101,159.53,2.1258
314.141,163.947,2.30731
318.182,168.486,2.50433
322.222,173.151,2.71817
326.263,177.946,2.95026
330.303,182.873,3.20218
334.343,187.936,3.4756
338.384,193.14,3.77237
342.424,198.488,4.09448
346.465,203.984,4.4441
350.505,209.632,4.82357
354.545,215.436,5.23544
358.586,221.401,5.68248
362.626,227.531,6.16769
366.667,233.831,6.69433
370.707,240.306,7.26594
374.747,246.96,7.88636
378.788,253.798,8.55975
382.828,260.825,9.29064
386.869,268.046,10.0839
390.909,275.469,10.945
394.949,283.096,11.8795
398.99,290.935,12.8939
403.03,298.99,13.9949
407.071,307.268,15.1898
411.111,315.777,16.4869
415.152,324.52,17.8946
419.192,333.505,19.4226
423.232,342.74,21.081
427.273,352.23,22.8811
431.313,361.982,24.8348
435.354,372.005,26.9554
439.394,382.305,29.257
443.434,392.891,31.7552
447.475,403.77,34.4667
451.515,414.949,37.4097
455.556,426.439,40.604
459.596,438.246,44.0711
463.636,450.381,47.8342
467.677,462.851,51.9186
471.717,475.667,56.3518
475.758,488.838,61.1635
479.798,502.373,66.386
483.838,516.283,72.0546
487.879,530.578,78.2071
491.919,545.269,84.885
495.96,560.367,92.133
500,575.882,100
